iter	Passed	Remaining
945	27859	1590
946	27889	1560
947	27916	1531
948	27943	1501
949	27972	1472
950	28002	1442
951	28031	1413
952	28058	1383
953	28086	1354
954	28114	1324
955	28142	1295
956	28170	1265
957	28198	1236
958	28226	1206
959	28260	1177
960	28288	1148
961	28317	1118
962	28344	1089
963	28374	1059
964	28405	1030
965	28435	1000
966	28466	971
967	28495	941
968	28524	912
969	28553	883
970	28580	853
971	28608	824
972	28636	794
973	28668	765
974	28701	735
975	28733	706
976	28762	677
977	28792	647
978	28822	618
979	28851	588
980	28881	559
981	28910	529
982	28939	500
983	28967	471
984	28998	441
985	29027	412
986	29055	382
987	29084	353
988	29112	323
989	29141	294
990	29171	264
991	29199	235
992	29226	206
993	29256	176
994	29286	147
995	29316	117
996	29345	88
997	29380	58
998	29409	29
999	29438	0
