iter	Passed	Remaining
956	28229	1268
957	28257	1238
958	28286	1209
959	28315	1179
960	28343	1150
961	28375	1120
962	28405	1091
963	28441	1062
964	28475	1032
965	28507	1003
966	28535	973
967	28563	944
968	28592	914
969	28622	885
970	28653	855
971	28683	826
972	28714	796
973	28747	767
974	28776	737
975	28805	708
976	28835	678
977	28866	649
978	28897	619
979	28929	590
980	28959	560
981	28988	531
982	29016	501
983	29046	472
984	29076	442
985	29106	413
986	29136	383
987	29164	354
988	29196	324
989	29228	295
990	29257	265
991	29284	236
992	29315	206
993	29349	177
994	29379	147
995	29412	118
996	29448	88
997	29481	59
998	29512	29
999	29541	0
